"Hint","Ea","Pattern","MaxDmaSize","CmdCount","OffloadFit","DispatchRisk","Records","RunsSeen","TotalBytes","Total","ShareOf25cc","Get","Put","RsxBytes","Rsx","DurationUs","DurationMs","MaxJob"
"profile-only","0x9e4000","0x756015788a5c5603","16384","341","spu-kernel-hle","tiny-dispatch-trap","1","1","1790672","1.71 MB","0.02%","244.00 KB","1.47 MB","0","0 B","2936","2.936","1.71 MB"
"profile-only","0x9e4000","0x86c6938e7301da5b","16384","350","spu-kernel-hle","tiny-dispatch-trap","1","1","1786128","1.70 MB","0.02%","244.00 KB","1.47 MB","0","0 B","5495","5.495","1.70 MB"
"profile-only","0x9e4000","0x1df09848a57acb7b","16384","350","spu-kernel-hle","tiny-dispatch-trap","1","1","1786128","1.70 MB","0.02%","244.00 KB","1.47 MB","0","0 B","1859","1.859","1.70 MB"
"profile-only","0x9e4000","0x4f02e1c63de5595b","16384","340","spu-kernel-hle","tiny-dispatch-trap","1","1","1785680","1.70 MB","0.02%","244.00 KB","1.46 MB","0","0 B","1866","1.866","1.70 MB"
"profile-only","0x9e4000","0x6375a25bafcccbfb","16384","340","spu-kernel-hle","tiny-dispatch-trap","1","1","1785680","1.70 MB","0.02%","244.00 KB","1.46 MB","0","0 B","1639","1.639","1.70 MB"
"profile-only","0x9e4000","0xa644b3e2faacbfb","16384","340","spu-kernel-hle","tiny-dispatch-trap","1","1","1785680","1.70 MB","0.02%","244.00 KB","1.46 MB","0","0 B","1968","1.968","1.70 MB"
"profile-only","0x9e4000","0x12303b037b36cbfb","16384","340","spu-kernel-hle","tiny-dispatch-trap","1","1","1785680","1.70 MB","0.02%","244.00 KB","1.46 MB","0","0 B","2159","2.159","1.70 MB"
"profile-only","0x9e4000","0x6f72a6cb4c442d93","16384","331","spu-kernel-hle","tiny-dispatch-trap","1","1","1780848","1.70 MB","0.02%","244.00 KB","1.46 MB","0","0 B","2114","2.114","1.70 MB"
"profile-only","0x9e4000","0x4151d51cbbe7f883","16384","339","spu-kernel-hle","tiny-dispatch-trap","1","1","1780688","1.70 MB","0.02%","244.00 KB","1.46 MB","0","0 B","2011","2.011","1.70 MB"
"profile-only","0x9e4000","0x1669b1d99e56a43","16384","339","spu-kernel-hle","tiny-dispatch-trap","1","1","1780688","1.70 MB","0.02%","244.00 KB","1.46 MB","0","0 B","1896","1.896","1.70 MB"
"profile-only","0x9e4000","0x4ef92e1e4fcdea43","16384","339","spu-kernel-hle","tiny-dispatch-trap","1","1","1780688","1.70 MB","0.02%","244.00 KB","1.46 MB","0","0 B","24793","24.793","1.70 MB"
"profile-only","0x9e4000","0xa33d305d26284843","16384","339","spu-kernel-hle","tiny-dispatch-trap","1","1","1780688","1.70 MB","0.02%","244.00 KB","1.46 MB","0","0 B","4526","4.526","1.70 MB"
"profile-only","0x9e4000","0xcb6208350a51f883","16384","339","spu-kernel-hle","tiny-dispatch-trap","1","1","1780688","1.70 MB","0.02%","244.00 KB","1.46 MB","0","0 B","3360","3.360","1.70 MB"
"profile-only","0x9e4000","0x1649e0f0f938d05b","16384","330","spu-kernel-hle","tiny-dispatch-trap","1","1","1780544","1.70 MB","0.02%","244.00 KB","1.46 MB","0","0 B","2474","2.474","1.70 MB"
"profile-only","0x9e4000","0xb0eae199587e578b","16384","330","spu-kernel-hle","tiny-dispatch-trap","1","1","1780544","1.70 MB","0.02%","244.00 KB","1.46 MB","0","0 B","2001","2.001","1.70 MB"
